ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
V-74;NA;1;Kvi;91;54;16;DHT;female;35;95;30.8;75;26.5;1;29.2;12.8;5.2;5
V-81;NA;1;Kvi;91;87;9;DHT;male;40;104.4;34.6;83;32;5;39;13.4;5.2;5.7
V-99;NA;1;Kvi;91;22;15;DHT;male;65;104.4;33.3;80;30;2;35.4;12.6;5.2;4.8
1H-42;NA;1;Seg;91;49;10;DHT;male;35;100;33.6;80;28;2;NA;12;5.3;5
1H-55;NA;2;Seg;91;26;7;SBH;male;35;103;34;82;30;1;35.9;13.4;NA;NA
1H-55;NA;1;Seg;91;84;10;BNN;male;35;102;34.1;81;29.6;0;31.7;13.5;5.6;5.5
1H-77;NA;1;Seg;91;26;7;SBH;male;35;99;33.2;78;30;1;32.6;13.1;NA;NA
1H-88;NA;1;Seg;91;26;9;SBH;male;35;103;34.8;82;32.5;2;35.3;NA;NA;NA
H5-44;NA;1;Seg;91;26;6;SBH;male;40;98;33.5;79;30.5;1;32.6;11.9;NA;NA
H5-99;NA;1;Seg;91;26;9;SBH;male;40;102;33;79;32;2;37.1;12.3;NA;NA
V-24;NA;1;Seg;91;86;11;BNN;female;35;97;NA;NA;NA;2;27;NA;NA;NA
1H-25;NA;1;Tys;91;30;5;SBH;male;35;102;34.5;80;30;1;36.5;12.8;5.3;5.1
1H-75;NA;1;Tys;91;30;6;SBH;male;35;100;33.7;77;31;1;35;13;5.1;4.8
1H-79;NA;1;Tys;91;30;5;DHT;male;35;103;34.6;82;32;1;35.9;12.1;5.4;5.2
1H-99;NA;1;Tys;91;30;7;SBH;male;35;101;34;NA;27;1;36.9;12.9;5.1;5.3
H5-98;NA;1;Tys;91;30;4;SBH;male;40;101;34.8;81;31;2;34.8;12.4;5.2;5
2H-38;NA;1;Kvi;92;46;10;DHT;female;60;99;32.1;78;29;2;30.6;11.5;5.2;5.2
H-23;NA;1;Kvi;92;44;18;BNN;female;90;95;32.1;74;29;0;31.4;12.8;5.3;5.1
H0-01;NA;1;Kvi;92;54;8;BNN;male;20;97;32.9;75;28;1;32.3;12.2;5.2;5.1
H0-09;NA;1;Kvi;92;64;11;DHT;female;20;97.3;32.3;74;29;2;33.2;12.9;5.2;4.9
H0-15;NA;1;Kvi;92;29;16;SBH;female;20;96;32.9;71;28.5;3;37.2;12.5;5.2;5
