site;stand;surf;oak;bir;bea;ald;asp;lim
30;3009;13;0.18919;0.43243;0.02703;0.01351;0.02703;0
30;3012;1.5;0.03125;0.125;0;0.71875;0;0
30;3013;3.8;0;0.5;0;0;0;0
30;3013;3.8;0.16667;0.13333;0;0.1;0.26667;0.26667
30;3013;3.8;0.25806;0.12903;0;0.09677;0.19355;0.22581
30;3015;4;0.76923;0.07692;0.07692;0;0;0
30;3017;4.8;0;0.5;0;0.16667;0;0
30;3018;3.7;0.01316;0.51316;0;0.13158;0.03947;0
30;3099;0;0;0.16667;0;0.75;0;0
30;3105;0.5;0;0.5;0;0.3;0.2;0
30;3106;0.6;0;0.8;0;0.15;0.05;0
30;3109;0.3;0;0.5625;0;0.25;0.1875;0
30;3114;2;0;0.45;0;0.35;0;0
30;3136;1.3;0.02083;0.5;0;0.29167;0.0625;0
30;3137;0.5;0;0.25;0;0.5625;0.125;0
30;3138;0.4;0;0.45;0;0.35;0.05;0
30;3139;1.8;0;0.68333;0;0.23333;0;0
40;4001;7.5;0.35821;0.31343;0;0.08955;0.07463;0.07463
40;4003;2.3;0.125;0.25;0;0;0;0
40;4008;14.2;0.30534;0.32061;0;0.03053;0.0458;0.1145
40;4010;2.2;0.18182;0.02273;0;0.20455;0.02273;0
40;4015;2.3;0.425;0.075;0;0;0.1;0
40;4016;3;0.08333;0.04167;0;0.125;0;0
40;4017;4.1;0.54167;0.05556;0;0;0.01389;0
40;4020;2.8;0.20455;0.15909;0;0;0.11364;0
40;4021;1.8;0.05;0.45;0;0.35;0.1;0
40;4022;1.3;0;0.83333;0;0;0;0
40;4023;4.4;0.33333;0.26882;0;0.02151;0.07527;0.10753
40;4024;6;0.08333;0.25;0;0.35;0.08333;0
40;4025;1.3;0;0.25;0;0.5;0.25;0
40;4027;0.3;0.125;0;0;0;0;0.25
40;4040;2;0.125;0.58333;0;0.08333;0;0
40;4041;2.6;0.26667;0.28889;0;0.13333;0.04444;0.02222
40;4042;1.2;0.1875;0.40625;0;0;0.03125;0
40;4043;2.1;0.30556;0.38889;0;0;0;0.22222
40;4044;1.4;0.42308;0.26923;0;0;0.07692;0
40;4045;1.6;0;0;0;0;0;0
40;4046;3.6;0.52083;0.25;0;0.02083;0.04167;0.02083
40;4049;1.2;0;0.4375;0;0.5;0;0
40;4050;0.7;0.5;0.33333;0;0;0;0
40;4099;0;0.03125;0.25;0;0.65625;0;0.03125
50;5001;5;0.10526;0.52632;0;0.07895;0.19737;0
50;5002;3.2;0.60714;0.10714;0;0.03571;0;0.10714
50;5003;7.9;0.41096;0.09589;0;0.0137;0.0274;0.23288
50;5004;2.5;0.10714;0.32143;0;0.25;0.07143;0.17857
50;5005;6.3;0.58667;0.14667;0;0.02667;0.02667;0.02667
50;5006;4.3;0.58333;0.22222;0;0.05556;0.11111;0
50;5007;3.4;0.30769;0.30769;0;0;0.03846;0
50;5008;1.6;0.59259;0.07407;0;0.03704;0;0.14815
50;5009;3.1;0.05882;0.5;0;0.05882;0.17647;0.02941
50;5010;4.5;0.03333;0.41667;0;0.1;0.01667;0
50;5011;7.8;0.03226;0.30645;0;0.03226;0;0
50;5012;5.6;0.00926;0.26852;0;0;0.01852;0
50;5013;5.7;0.16667;0.15476;0;0.45238;0.02381;0
50;5014;1.5;0;0.69565;0;0.13043;0.08696;0
50;5015;1.7;0;0.89286;0;0;0.03571;0
50;5099;0;0;0.5;0;0;0.25;0
60;6001;1.6;0.18519;0.07407;0;0.44444;0.22222;0
60;6002;10.2;1;0;0;0;0;0
60;6003;1.4;0.2;0.2;0;0.5;0.1;0
60;6004;1.4;0.35714;0.21429;0;0;0.14286;0
60;6005;1.3;0;0.5;0;0.375;0;0
60;6006;1.8;0;0.46667;0;0.13333;0;0
60;6008;1.6;0.3125;0.0625;0;0.1875;0;0
60;6009;3.1;0.42857;0.10714;0;0.07143;0.07143;0.03571
60;6011;2;0.35484;0.09677;0;0;0.09677;0.25806
60;6012;8;0.29167;0.25;0;0.03125;0.08333;0
60;6013;0.6;0.25;0.75;0;0;0;0
60;6014;0.7;0.33333;0.66667;0;0;0;0
70;7091;0;0.41667;0.5;0;0;0;0
70;7095;10.1;0.57692;0.15385;0;0.02885;0.01923;0
70;7096;7.8;0.125;0.13889;0;0.02778;0.05556;0
70;7097;1.2;0.875;0;0;0;0;0
70;7098;3.6;0.15625;0.3125;0;0;0;0.03125
70;7101;1.5;0.01613;0.41935;0;0.22581;0.17742;0
80;8001;3.4;0.07143;0.44643;0;0.125;0.08929;0
80;8002;2.9;0;0.46667;0;0;0.06667;0
80;8004;2.2;0.4;0.3;0;0;0.1;0
80;8007;0.8;0.33333;0.33333;0;0;0;0
80;8008;1.7;0.625;0;0;0;0;0
80;8008;1.7;0.125;0.25;0;0;0.125;0
80;8008;1.7;0.125;0.25;0;0.125;0;0
80;8010;0.5;0;0;0;0;0;0
80;8011;1.5;0;0.9375;0;0;0;0
80;8013;2.4;0.125;0;0;0;0;0
80;8014;0.6;0;1;0;0;0;0
80;8016;3.8;0.09677;0.41935;0;0.03226;0.06452;0
80;8017;0.7;0;0.58333;0;0;0;0
80;8018;1.6;0.125;0.45833;0;0.04167;0.04167;0
80;8018;1.6;0;0.5;0;0;0;0
80;8018;1.6;0;0;0;0;0;0
80;8019;2.3;0.175;0.35;0;0.125;0.175;0
80;8019;2.3;0.36364;0.45455;0;0;0;0
80;8019;2.3;0;1;0;0;0;0
80;8022;4.9;0;0.125;0;0;0;0
80;8026;1.9;0;0.66667;0;0.08333;0;0
80;8027;0.7;0;0;0;0;0;0
80;8028;2.7;0.125;0.375;0;0;0.125;0
80;8029;1.2;0;0.5;0;0;0;0
80;8030;2.6;0.125;0.875;0;0;0;0
80;8031;3.4;0;0.41667;0;0.33333;0.16667;0
80;8032;2.5;0;0.375;0;0.25;0.125;0
80;8033;2.3;0.06667;0.6;0;0;0;0
80;8033;2.3;0;0.5;0;0;0;0
80;8033;2.3;0;1;0;0;0;0
80;8034;4.8;0.25;0;0;0;0;0
80;8035;1.7;0;0.625;0;0.375;0;0
80;8036;11.9;0.02985;0.14925;0;0.08955;0;0
80;8037;1.7;0.16667;0.16667;0;0.25;0;0
80;8038;6.3;0.33333;0.33333;0;0;0;0
80;8038;6.3;0.5;0.25;0;0;0;0
80;8038;6.3;0.25;0.25;0;0.25;0;0
80;8039;4.7;0.2;0.1;0;0.2;0.3;0
80;8039;4.7;0.0625;0.25;0;0;0.0625;0
80;8039;4.7;0.125;0.25;0;0;0.0625;0
80;8045;7.4;0.02899;0.65217;0;0.05072;0.03623;0
80;8046;2;0.21875;0.03125;0;0.09375;0.09375;0
80;8047;0.8;0;0.18182;0;0;0;0
80;8048;8.3;0.32692;0.13462;0;0.04808;0.05769;0
80;8048;8.3;0.25;0.14286;0;0.03571;0.03571;0
80;8048;8.3;0.14286;0.14286;0;0.03571;0.03571;0
80;8049;0.5;0;0;0;0;0;0
80;8049;0.5;0.375;0.125;0;0;0;0
80;8049;0.5;0.5;0.125;0;0;0;0
80;8050;5.6;0;0.81081;0;0.02703;0.02703;0
80;8051;2.8;0;0.97222;0;0;0;0
80;8052;1.2;0.1;0.15;0;0;0;0
80;8053;3.3;0.17143;0.28571;0.02857;0.11429;0.02857;0
80;8053;3.3;0.15;0.4;0;0;0;0
80;8053;3.3;0.10526;0.26316;0;0.05263;0;0
